id,y,x
1697826475,30.3246916,78.0555953
1697826476,30.3188134,78.0559416
1697826477,30.3224339,78.0557086
1697827697,30.3113228,78.0518844
1697827698,30.3139387,78.0534623
1697827710,30.3152794,78.0542777
1847251638,30.1506508,78.1198593
1854114915,30.323529,78.0513497
1854125715,30.2948511,78.0456079
1854125745,30.2941957,78.044468
1883467749,30.2862488,78.0658697
1883467752,30.2920556,78.0706886
1883467753,30.2924551,78.0714228
1883467754,30.2933622,78.0751986
1883467759,30.2953409,78.0744336
1883467761,30.2979803,78.0700353
1883467763,30.2985854,78.0745796
1883467764,30.2993693,78.0746179
1883467765,30.2997756,78.0640955
1883467768,30.3020611,78.113087
1883467776,30.3078067,78.0992288
1883467790,30.3115786,78.0514242
1883467797,30.3129405,78.049494
1883467813,30.3160653,78.0766998
1883467818,30.3168259,78.0809967
1973771060,30.3141884,78.0328903
2113545910,30.07401,78.2470118
2113545912,30.0779604,78.2520827
2113545924,30.1010665,78.2901903
2113545926,30.1017801,78.288842
2265739362,30.1050253,78.2913085
2355368178,30.3064618,78.098718
2355368198,30.3144602,78.1015829
2355368230,30.320366,78.1042636
2355368234,30.3267018,78.1071205
2355368240,30.3295672,78.1084218
2355368242,30.3303203,78.1087749
2355368250,30.3322784,78.1097095
2355368290,30.3368559,78.1110276
2355368294,30.337373,78.1110246
